q,h(q),h(q) shuffled
-3.0,0.5190240847452209,0.5641279437540089
-2.5,0.5134800167275081,0.5578793549986208
-2.0,0.508200925513074,0.5515324726231887
-1.5,0.5031508862296452,0.5450832282080705
-1.0,0.4982458571677322,0.5385171585666029
-0.5,0.4933347994887438,0.5318065830390082
0.0,0.48817942982798784,0.5249075871635243
0.5,0.4824405387600163,0.5177573102529953
1.0,0.47568608573037363,0.5102726662772251
1.5,0.46744478184086313,0.5023526252856398
2.0,0.457327853090161,0.4938873493529026
2.5,0.44520716909890246,0.48477787057023775
3.0,0.43136226402176175,0.47496755160551424
